2026-06-29 13:11:28 [TestNG-test-Release 1.0 Testing for AE-2] INFO  [qa] [Test_AE2_TC02_Verify_Valid_User_Login_chrome_30] framework.listeners.TestListener - --- STARTING TEST : LoginTests#Test_AE2_TC02_Verify_Valid_User_Login on chrome [thread-30] ---
2026-06-29 13:11:29 [TestNG-test-Release 1.0 Testing for AE-2] INFO  [qa] [Test_AE2_TC02_Verify_Valid_User_Login_chrome_30] test.ae.LoginTests - Running:Step-1
2026-06-29 13:11:32 [TestNG-test-Release 1.0 Testing for AE-2] INFO  [qa] [Test_AE2_TC02_Verify_Valid_User_Login_chrome_30] test.ae.LoginTests - Running:Step-2
2026-06-29 13:11:42 [TestNG-test-Release 1.0 Testing for AE-2] INFO  [qa] [Test_AE2_TC02_Verify_Valid_User_Login_chrome_30] framework.listeners.TestListener - TEST PASSED: Test_AE2_TC02_Verify_Valid_User_Login
2026-06-29 13:11:44 [TestNG-test-Release 1.0 Testing for AE-2] ERROR [qa] [Test_AE2_TC02_Verify_Valid_User_Login_chrome_30] io.qameta.allure.AllureLifecycle - Could not add attachment: no test is running
2026-06-29 13:11:44 [TestNG-test-Release 1.0 Testing for AE-2] INFO  [qa] [Test_AE2_TC02_Verify_Valid_User_Login_chrome_30] framework.listeners.TestListener - Screenshot attached: PASSED Screenshot:
2026-06-29 13:11:44 [TestNG-test-Release 1.0 Testing for AE-2] INFO  [qa] [Test_AE2_TC02_Verify_Valid_User_Login_chrome_30] test.ae.LoginTests - Trace stopped for: Test_AE2_TC02_Verify_Valid_User_Login
2026-06-29 13:11:47 [TestNG-test-Release 1.0 Testing for AE-2] INFO  [qa] [Test_AE2_TC02_Verify_Valid_User_Login_chrome_30] framework.drivers.DriverManager - Browser closed successfully.
2026-06-29 13:11:47 [TestNG-test-Release 1.0 Testing for AE-2] INFO  [qa] [Test_AE2_TC02_Verify_Valid_User_Login_chrome_30] test.ae.LoginTests - Driver shutdown successful.
2026-06-29 13:11:47 [TestNG-test-Release 1.0 Testing for AE-2] INFO  [qa] [Test_AE2_TC02_Verify_Valid_User_Login_chrome_30] reporting.ReportManager - ✅ Attachment added to Allure: 🎭 Playwright Trace — Test_AE2_TC02_Verify_Valid_User_Login
2026-06-29 13:11:47 [TestNG-test-Release 1.0 Testing for AE-2] INFO  [qa] [Test_AE2_TC02_Verify_Valid_User_Login_chrome_30] test.ae.LoginTests - Trace attached for: Test_AE2_TC02_Verify_Valid_User_Login
2026-06-29 13:11:47 [TestNG-test-Release 1.0 Testing for AE-2] INFO  [qa] [Test_AE2_TC02_Verify_Valid_User_Login_chrome_30] test.ae.LoginTests - trace temp file deleted from disk.
2026-06-29 13:11:47 [TestNG-test-Release 1.0 Testing for AE-2] INFO  [qa] [Test_AE2_TC02_Verify_Valid_User_Login_chrome_30] reporting.ReportManager - ✅ Attachment added to Allure: 🎬 Test Video — Test_AE2_TC02_Verify_Valid_User_Login
2026-06-29 13:11:47 [TestNG-test-Release 1.0 Testing for AE-2] INFO  [qa] [Test_AE2_TC02_Verify_Valid_User_Login_chrome_30] test.ae.LoginTests - Video attached for: Test_AE2_TC02_Verify_Valid_User_Login
2026-06-29 13:11:47 [TestNG-test-Release 1.0 Testing for AE-2] INFO  [qa] [Test_AE2_TC02_Verify_Valid_User_Login_chrome_30] test.ae.LoginTests - video temp file deleted from disk.
